CPH,ProducerID,TradingName,Date
06/221/0067/,22951,MR P A JONES,2017-01-11
43/254/0115/,30790,Pilkington Farms Limited,2017-01-11
10/011/0106/,30331,T/A: Waterford Farm Partnership,2017-01-11
35/038/0349/,30455,Christine Page,2017-01-11
14/079/0094/,8272,MR A W & MRS J KING,2017-01-12
09/579/0005/,5106,R F G LANGTON,2017-01-13
09/310/0004/,5093,RAINS & SON,2017-01-13
06/228/0014/,891,T/A: F Percival & Son,2017-01-13
37/248/0034/,15471,MESSRS G A & Y E SADLER,2017-01-13
56/045/0043/,21833,GR & NW JONES,2017-01-13
56/099/0021/,22026,"E H, E S & G S AMES",2017-01-13
56/219/0059/,22115,R JONES & SONS,2017-01-13
56/045/0043/,22167,G H JONES & SON,2017-01-13
46/237/0066/,22171,H & S L GRIFFITHS,2017-01-13
37/158/0118/,29660,D & R Howell,2017-01-13
56/043/0040/,21802,T H EVANS A'I FAB,2017-01-15
53/074/0053/,30298,T/A: G H Griffith A'I Gwmni,2017-01-16
35/083/0095/,12493,F H Apperley & Sons,2017-01-16
35/088/0036/,12527,Nixon's Farm Ltd,2017-01-16
35/058/0024/,12395,J L Trow & Son,2017-01-16
08/119/0003/,3553,MESSRS AWDE,2017-01-16
08/309/0086/,3741,R FORREST & SON,2017-01-16
08/083/0039/,3190,M/S J D & E M MILLER,2017-01-17
08/083/0050/,3192,M/S E M & E PATTINSON & SON,2017-01-17
06/224/0100/,873,D & P NICHOLAS,2017-01-17
15/012/0163/,8618,BLACKBURN & HAYNES,2017-01-17
13/304/0100/,8158,BOYDELLS DAIRY FARM,2017-01-17
37/061/0009/,14735,T D PRINCE,2017-01-17
38/451/0067/,29977,OAK TREE COTTAGE,2017-01-17
40/043/0156/,29133,CRT PIERREPONT FARM,2017-01-17
10/396/0032/,29360,GFL Dairy Limited,2017-01-18
35/137/0317/,29369,R J & C H Lloyd,2017-01-18
06/154/0090/,29666,DISTINCTIVE HOLSTEINS,2017-01-18
56/226/0148/,22145,H E BARTLEY & CO,2017-01-18
46/776/0315/,22150,E E & M WILLIAMS & SONS,2017-01-18
10/080/0193/,30689,T/A: David Baggs and Richard Baggs,2017-01-18
11/014/0045/,30565,P Kerley Contractor Ltd,2017-01-18
33/432/0167/,30647,T/A: Norton & Yarrow Cheese Ltd,2017-01-18
40/126/0018/,15694,C & C M HAMILTON,2017-01-18
40/035/0159/,15634,M A FROST,2017-01-18
40/052/0060/,15657,E S & G A SMITH,2017-01-18
35/144/0027/,12650,R W L & H M Francis,2017-01-18
35/144/0323/,12669,R B & H L Edwards,2017-01-18
21/415/0020/,10516,T E & M M KIDD,2017-01-18
21/415/0040/,10522,JP & V & JM & DJ TOWNLEY,2017-01-18
21/418/0056/,10192,W A WARD & SON,2017-01-18
21/403/0030/,10443,J T & U M GARTH,2017-01-18
10/317/0046/,6560,D J & G R Westaway,2017-01-18
08/375/0021/,4035,MESSRS R H & R A FAWCETT,2017-01-18
06/157/0027/,697,P A & D R JOHNSON,2017-01-18
06/286/0001/,1135,Burland Farm Ltd,2017-01-19
06/284/0022/,1130,DAVID LATHAM,2017-01-19
08/396/0009/,4137,S & D C BLAND,2017-01-19
08/396/0011/,4138,C G & R L EWBANK,2017-01-19
09/038/0017/,4530,H & H BRADBURY,2017-01-19
09/039/0011/,4531,C H & J W Witham,2017-01-19
11/211/0002/,7688,DIANA M MORGAN AND THOMAS J DUNNING,2017-01-19
28/637/0005/,11391,J NORTON & SONS,2017-01-19
28/099/0005/,11277,J C W ROGERS,2017-01-19
35/009/0016/,12306,S V Taylor & Partners,2017-01-19
44/901/0078/,16370,F YATES & SON,2017-01-19
36/406/0014/,14215,C L G Wadman & J Wadman & Sons,2017-01-19
48/231/0053/,17403,R E SNOWDON & SON,2017-01-19
49/356/0111/,18564,T/A:  J A Haigh & Sons,2017-01-19
28/459/0113/,30166,T/A: D G & J R Browne,2017-01-19
37/067/0192/,29621,S H & C J WOODWARD,2017-01-20
37/187/0070/,28976,D J & D S WINNINGTON,2017-01-20
53/012/0017/,19219,"I W, D & E W OWEN",2017-01-20
37/060/0068/,14733,G & L BELFIELD & SON,2017-01-20
37/223/0012/,15334,T FARRINGTON & SONS,2017-01-20
45/010/0041/,16386,Stowford Manor Farm,2017-01-23
35/065/0017/,12419,T/A  D A AND J L BENNION,2017-01-23
15/023/0018/,8629,H A Edmunds,2017-01-23
10/211/0046/,6158,MESSRS D G & J Y HOOPER,2017-01-23
10/397/0033/,6848,C J Parish & Son,2017-01-23
10/442/0041/,7002,TOWHILL FARM LIMITED,2017-01-23
08/634/0035/,4243,F A & J M GRAVES,2017-01-23
08/634/0054/,4244,T M W & H HODGSON,2017-01-23
10/077/0065/,5448,J G QUICKE & PARTNERS,2017-01-23
06/342/0006/,1320,G W & M A PLATT & SON,2017-01-23
06/149/0013/,660,F ANDOW & SONS,2017-01-23
06/209/0022/,831,MESSRS H HEATH & SONS,2017-01-23
08/062/0046/,3041,R H & J KNOWLES,2017-01-23
08/046/0041/,2989,M J & M WILSON & SONS,2017-01-24
08/185/0033/,3636,M/S T W ARMSTRONG & SONS,2017-01-24
08/108/0012/,3274,MESSERS G WILKINSON,2017-01-24
10/077/0065/,5448,J G QUICKE & PARTNERS,2017-01-24
28/200/0008/,11302,COSTON HALL FARMS LTD,2017-01-24
28/462/0010/,11365,F S DANN & SON LTD,2017-01-24
31/480/0016/,11633,MR D W BARBER,2017-01-24
37/159/0038/,15094,S P ROBINSON & SON,2017-01-24
37/163/0019/,15113,R T RUSHTON & SON,2017-01-24
21/670/0028/00,29681,M A & J R SHARPE,2017-01-24
21/682/0005/01,29323,F B & E M MARSDEN,2017-01-24
10/209/0031/,29488,"T/A: LF, AJ and JL Bartlett",2017-01-24
37/201/0038/,29499,K G CLAY,2017-01-24
08/031/0237/,30786,T/A: Messrs Peile,2017-01-24
06/144/0113/,30633,T/A: C L Bowles-Jones,2017-01-25
15/109/0191/,29067,O G NEAGLE,2017-01-25
08/146/0083/,29187,MESSRS WALSH,2017-01-25
06/154/0090/,29666,DISTINCTIVE HOLSTEINS,2017-01-25
36/454/0010/,14339,HINTON FARM LTD,2017-01-25
52/120/0151/,19000,MR H I & MRS L J LLOYD,2017-01-25
48/522/0015/,17843,MESSRS E BOWES & SONS,2017-01-25
21/459/0656/,10589,J T & J ARMER,2017-01-25
21/402/0011/,10422,J.B. & J.B. LAWSON,2017-01-25
21/235/0038/,10298,J & G THORNLEY LIMITED,2017-01-25
21/238/0043/,10314,T/A: M Kirkham & Sons,2017-01-25
21/148/0007/,9984,"J E, M E & J P SEED",2017-01-25
71/067/0126/,9640,T ER & VJ BOLTON,2017-01-25
08/413/0005/,4193,MESSRS FISHER,2017-01-25
15/012/0063/,8618,BLACKBURN & HAYNES,2017-01-25
06/149/0013/,660,F ANDOW & SONS,2017-01-25
06/064/0004/,444,THOMAS RANDLE COOKE,2017-01-25
06/325/0013/,1285,D A PLATT & PARTNERS,2017-01-25
07/121/0001/,2106,J P & N J Hobbs,2017-01-26
07/137/0079/,2191,T I WELLINGTON,2017-01-26
37/232/0034/,15395,J.H. & M.R.RUSHTON & SONS,2017-01-26
44/690/0044/,16325,J & S Y KENYON & SONS,2017-01-26
44/690/0044/,16325,J & S Y KENYON & SONS,2017-01-26
28/028/0056/,29006,JACMAR DAIRY GOATS,2017-01-26
37/224/0012/,28916,P G & R G BROWN LTD,2017-01-26
37/188/0042/,26588,MR G HOLLINSHEAD,2017-01-26
56/067/0303/,30335,Eifion Griffith,2017-01-26
10/430/0175/,30798,Ahimsa Dairy Foundation,2017-01-27
06/203/0006/,804,T/A: L V & D F Dakin & Partners,2017-01-27
08/123/0032/,3245,J WATSON & SONS LTD,2017-01-27
08/065/0041/,3061,M/S M & M WILSON & SONS,2017-01-27
08/083/0050/,3192,M/S E M & E PATTINSON & SON,2017-01-27
10/076/0013/,5432,A J & R L POOLE,2017-01-27
06/264/0043/,1056,CLAYDEN HOLSTEINS,2017-01-30
06/265/0015/,1066,S J MITCHELL & CO,2017-01-30
06/288/0004/,1149,Probin Farms Limited,2017-01-30
36/331/0015/,14045,J SMITH & SON,2017-01-30
55/013/0048/,19752,H J & S L Richards,2017-01-30
36/022/0020/,13312,F G & C TUCKER,2017-01-30
56/259/0021/,22324,J I & D HUGHES,2017-01-30
56/044/0032/,21818,E P & A ROWLANDS & SON,2017-01-30
56/067/0006/,21909,M/S G WHITTINGHAM & SONS,2017-01-30
56/037/0053/,21762,P & M V & P W LLOYD,2017-01-30
37/013/0086/,29245,L E BOTHWELL,2017-01-30
34/668/0104/,29456,H J BULT & SON,2017-01-31
55/451/0113/,21196,M/s D W & C M Evans,2017-01-31
34/616/0068/,12138,E V TRANMER AND SONS,2017-01-31
37/037/0111/,14620,MESSRS A G BONSALL & SON,2017-01-31
37/146/0017/,15052,B J MOULD LTD,2017-01-31
37/180/0043/,15122,J & S  HAMMOND,2017-01-31
06/128/0020/,894,M J RICHARDSON & PARTNERS,2017-01-31
06/102/0009/,543,G T G DODD,2017-01-31
08/091/0034/,3221,MR A BROUGH,2017-01-31
08/142/0073/,3416,R M TODD,2017-01-31
10/210/0050/,6146,M/S TRATT,2017-02-01
08/400/0001/,4151,MRS S ARMSTRONG,2017-02-01
08/389/0010/,4101,M/S J B & M R CLEASBY & SON,2017-02-01
10/417/0006/,6950,H & A WASTENAGE,2017-02-01
46/460/0018/,17002,M P MASON,2017-02-01
35/168/0015/,12846,T H Roberts & Sons,2017-02-01
35/270/0096/,13197,R Mayer & Sons,2017-02-01
11/033/0009/,9722,J & G HOLT,2017-02-01
21/160/0043/,10069,P J & P MASON,2017-02-01
21/219/0011/,10252,D & D THISTLETHWAITE,2017-02-01
22/282/0005/,11015,G C & R MEAKIN,2017-02-01
33/432/0045/,11926,DART & PARTNERS,2017-02-01
55/219/0017/,20663,D D & C M JONES LTD,2017-02-01
21/033/0055/,29464,J S & K A WHITAKER,2017-02-01
55/427/0012/,30270,T/A: MJ & SL & AL Morgan,2017-02-01
11/208/0040/,30188,Simpson Farming Ltd,2017-02-02
21/649/0009/,10653,L & A WATSON,2017-02-02
49/528/0927/,18607,PETER SHARP & SON,2017-02-02
44/690/0044/,16325,J & S Y KENYON & SONS,2017-02-02
37/015/0001/,14449,C R UPTON,2017-02-02
11/029/0008/,7126,R J Tory (East Farm) Ltd & N J Tory,2017-02-02
11/079/0008/,7321,"M/S J C, M J & A C MAYO",2017-02-02
13/083/0050/,8107,FARCROFT HERD,2017-02-02
08/123/0028/,3343,R W & A M GREENUP & F D COULTHARD,2017-02-02
08/193/0029/,3681,MESSRS P H FORBES,2017-02-02
37/223/0062/,15346,R J HALL & SONS,2017-02-03
53/163/0010/,19435,R & J DRAPER,2017-02-03
53/173/0212/,19456,HR & G WILLIAMS,2017-02-03
37/067/0192/,29621,S H & C J WOODWARD,2017-02-03
06/226/0030/,29459,GARNETT FARMS,2017-02-03
09/051/0013/,30809,T/A: J C Stubbs,2017-02-03
17/238/0015/,30767,T/A: E P Davies and Son,2017-02-06
56/070/0123/,21931,H R & E R HUGHES,2017-02-06
06/221/0067/,22951,MR P A JONES,2017-02-06
45/146/0018/,16694,A A Farthing,2017-02-06
46/460/0018/,17002,M P MASON,2017-02-06
42/127/0033/,15949,"CHICHESTER COLLEGE, BRINSBURY CAMPUS",2017-02-06
35/253/0441/,13075,R S T & S A Morgan,2017-02-06
35/083/0095/,12493,F H Apperley & Sons,2017-02-06
06/112/0008/,560,P J EDWARDS,2017-02-06
06/221/0006/,865,G J FORD & SONS,2017-02-06
08/642/0013/,4287,MESSRS LIVESEY,2017-02-06
11/046/0036/,7203,E R J ANGELL AND R J ANGELL,2017-02-07
08/108/0012/,3274,MESSERS G WILKINSON,2017-02-07
08/083/0039/,3190,M/S J D & E M MILLER,2017-02-07
08/046/0041/,2989,M J & M WILSON & SONS,2017-02-07
20/136/0163/,9509,W F FARMS,2017-02-07
20/276/0007/,9532,STEPHEN FURNIVAL,2017-02-07
37/188/0041/,15166,MR D E FENTON,2017-02-07
37/030/0115/,14562,D W EARDLEY & PARTNERS,2017-02-07
51/205/0107/,18782,Yorkshire Dairy Goats,2017-02-07
51/413/0025/,18841,P HALL & SON,2017-02-07
52/129/0060/,19042,R & R A JONES,2017-02-08
48/062/0004/,17249,T R & P D THOMPSON,2017-02-08
37/128/0028/,14990,GRAHAM WARD FARMS LTD,2017-02-08
22/177/0059/,10886,T/A: B & H GRIFFIN,2017-02-08
22/128/0002/,10822,P & C Attfield,2017-02-08
10/210/0046/,6145,W & E A TRATT,2017-02-08
10/206/0017/,6117,R C & K WRIGHT & SON,2017-02-08
48/423/0013/,27285,MR T L CARLISLE,2017-02-08
56/087/0093/,21998,EM & JR EVANS,2017-02-08
56/087/0104/,22001,E D & J MORRIS & SONS,2017-02-08
10/209/0031/,29488,"T/A: LF, AJ and JL Bartlett",2017-02-08
07/103/0090/,30135,Matthew Bros Limited,2017-02-08
12/116/0034/,30622,T/A: Stone's Dairy,2017-02-08
37/126/0146/,30800,Bar Hill Dairies Limited,2017-02-08
07/030/0144/,30793,T/A: RS & SJ Risdon,2017-02-08
07/222/7000/,30784,T/A: A & R Gillbard,2017-02-08
18/108/0086/,30333,T/A: Meadow Hay Dairies,2017-02-09
55/427/0111/,30449,T/A: TSI & HJ Davies,2017-02-09
18/050/0034/,30480,Charles Wray,2017-02-09
55/481/0019/,30254,T/A: Parc-Y-Morfa Farms Ltd,2017-02-09
37/188/0042/,26588,MR G HOLLINSHEAD,2017-02-09
08/169/0025/,3556,H M & R A IVINSON & SONS,2017-02-09
08/309/0086/,3741,R FORREST & SON,2017-02-09
08/321/0008/,3788,CROSSFELL HOUSE FARM LTD,2017-02-09
20/353/0006/,9574,P C COLEMAN & PARTNERS,2017-02-09
35/058/0024/,12395,J L Trow & Son,2017-02-09
35/279/0042/,13223,Bubney Farms Ltd,2017-02-09
37/015/0001/,14449,C R UPTON,2017-02-09
36/395/0113/,14169,GILCOMBE FARM,2017-02-09
37/163/0019/,15113,R T RUSHTON & SON,2017-02-09
37/232/0034/,15395,J.H. & M.R.RUSHTON & SONS,2017-02-09
44/673/0106/,16318,J & K WHITELEGG,2017-02-09
37/234/0050/,15432,MR G J TIDESWELL,2017-02-10
37/187/0186/,15159,R D & A ROE,2017-02-10
20/142/9016/,9511,SKEETE GOATS,2017-02-10
20/071/0169/,9479,LITTLE ACRES GOAT PRODUCTS,2017-02-10
55/451/0113/,21196,M/s D W & C M Evans,2017-02-10
53/026/0034/,30253,"REG AS: Artro C, Arfon D, Hywel and Beryl Pugh",2017-02-10
53/050/0378/,29441,Richlin Dairy Goat Products,2017-02-10
20/080/7000/,29127,T/A:Ellie?s Dairy,2017-02-10
10/089/0037/,30191,T/A: J L E Pitts & Son,2017-02-13
10/350/0119/,30808,W P Dawe & Son,2017-02-13
35/173/0064/,12920,Mrs E M Corfield & Son,2017-02-13
35/140/0025/,12635,D D & M Williams,2017-02-13
52/165/0018/,19171,E P Roberts & Sons,2017-02-13
07/222/0064/,2652,E H GILLBARD,2017-02-13
07/028/0004/,1695,Mr N H Burden,2017-02-13
10/076/0053/,5438,D W & S C GILLBARD,2017-02-13
10/331/0009/,6631,D.A.J. T/A: Down and J.M. Down,2017-02-13
08/654/0005/,4317,AE & E Garnett Ltd,2017-02-14
35/065/0017/,12419,T/A  D A AND J L BENNION,2017-02-14
35/199/0030/,12969,G H Barker & Sons,2017-02-14
35/270/0110/,13200,D & P ALLEN,2017-02-15
52/129/0060/,19042,R & R A JONES,2017-02-15
06/281/0006/,1108,A B LATHAM,2017-02-15
14/261/0245/,30806,Stroud Micro Dairy Limited,2017-02-15
43/026/0046/,30109,T/A: Heath Farm Partnership,2017-02-15
22/228/0141/,29170,LEICESTERSHIRE HANDMADE CHEESE CO,2017-02-15
22/213/0022/,29503,R B BETTERIDGE,2017-02-15
56/087/0104/,22001,E D & J MORRIS & SONS,2017-02-15
14/315/0104/,29473,J A Crump,2017-02-16
40/043/0156/,29133,CRT PIERREPONT FARM,2017-02-16
05/350/0040/,30359,T/A: M & A Snowden,2017-02-16
36/395/0008/,14162,WYKE FARMS LTD,2017-02-16
07/037/0067/,1740,G J CARTER,2017-02-17
08/035/0098/,2908,M/S G & N A BAINBRIDGE & SON,2017-02-17
08/185/0033/,3636,M/S T W ARMSTRONG & SONS,2017-02-17
08/123/0032/,3345,MESSRS J & C BROUGH,2017-02-17
08/031/0237/,30786,T/A: Messrs Peile,2017-02-17
55/512/0158/,30611,T/A: Christopher Mark Thomas,2017-02-20
55/025/0184/,30287,T/A: GP & GW Beynon,2017-02-20
55/451/0113/,21196,M/s D W & C M Evans,2017-02-20
07/134/0010/,2165,D E J BRAY,2017-02-20
07/013/0435/,1608,P G & T A HICKS,2017-02-20
08/640/0021/,4272,J SCOTT & CO,2017-02-20
10/220/0004/,6221,HOLLAND FARMERS,2017-02-20
10/220/0004/,6221,HOLLAND FARMERS,2017-02-20
14/305/0024/,8518,A R Cozens,2017-02-20
45/060/0006/,16518,T/A: JR & SE Cook,2017-02-20
35/083/0055/,12484,A L & F L Appleby,2017-02-20
40/126/0018/,15694,C & C M HAMILTON,2017-02-21
13/317/0050/,8164,MRS J P SHIPTON,2017-02-21
10/199/0139/,6073,J L & MRS G L TALLAMY,2017-02-21
03/174/0006/,210,MR & MRS P D ROBESON,2017-02-21
08/034/0004/,2856,MESSRS HUGHES,2017-02-21
13/160/0019/,28974,MONARCH FARMS,2017-02-21
10/181/7006/,30131,T/A Mr J H Beare,2017-02-21
55/512/0158/,30611,T/A: Christopher Mark Thomas,2017-02-21
08/071/0082/,3147,MESSRS WHITFIELD LTD,2017-02-22
04/652/0104/,274,M/S H S PETCH & SON LTD,2017-02-22
04/756/0022/,294,T J & B A WELFORD,2017-02-22
06/203/0006/,804,T/A: L V & D F Dakin & Partners,2017-02-22
35/152/0095/,12730,J W & J Holland,2017-02-22
35/137/0069/,12618,Mrs S G M & Mr I C Mansell,2017-02-22
14/303/0044/,8512,ROBIN MERRETT FARM PARTNERSHIP,2017-02-23
08/065/0041/,3061,M/S M & M WILSON & SONS,2017-02-24
08/194/0043/,3688,J D HETHERINGTON & SONS,2017-02-24
37/128/0044/,14992,R & Y M MOSS & SON,2017-02-24
03/213/0001/,30322,T/A: S E Alderman,2017-02-24
37/128/0060/,29595,GRAHAM WARD FARMS LTD,2017-02-24
08/028/0117/,29047,MEADOW FARM LIMITED,2017-02-24
48/795/0064/,29327,T H HESLOP & SONS,2017-02-24
56/241/0049/,22229,C H & E S LUNT & SON,2017-02-27
45/324/0010/,16957,A J CARLOS,2017-02-27
45/267/0024/,16843,FRIARS HAYES FARM LTD,2017-02-27
45/268/0113/,16851,WEST TISBURY DAIRIES,2017-02-27
35/156/0028/,12759,D J Willis & Partners,2017-02-27
08/058/0044/,3033,MESSRS TS & SM PARK,2017-02-27
08/053/0035/,3015,M/S S A & W J LINDSAY,2017-02-27
06/026/0005/,367,A E LATHAM,2017-02-27
07/171/0023/,2333,J C BOADEN & SON,2017-02-27
07/173/0039/,2340,MARGARET & STEPHEN GREEN,2017-02-27
08/775/0045/,4366,T W HANDLEY,2017-02-27
07/005/0051/,1571,C THOMAS & SON,2017-02-28
07/007/0121/,1587,MR T M & MRS S D TREMAYNE,2017-02-28
06/265/0015/,1066,S J MITCHELL & CO,2017-02-28
06/264/0043/,1056,CLAYDEN HOLSTEINS,2017-02-28
06/246/0017/,978,SEATON FARMS,2017-02-28
08/355/0006/,3934,W GARNETT & SON,2017-02-28
35/269/0067/,13169,N L Ford & Son,2017-02-28
20/105/0069/,9491,D E LYNES & PTNRS T/A STREET FARM DAIRY,2017-02-28
22/222/0059/,10955,P B & J KNIGHT,2017-02-28
22/227/0017/,10970,T SMITH & SONS LTD,2017-02-28
38/102/0078/,15556,Fen Farm Dairy Ltd,2017-02-28
38/067/0109/,29531,SUFFOLK FARMHOUSE CHEESES,2017-02-28
15/225/0131/,29062,Hansus Cottage,2017-02-28
22/135/0055/,29234,T/A: E T Tomlinson & Son,2017-02-28
14/149/0081/,30577,T/A: P M & U J Deighton,2017-03-01
35/272/0029/,13209,M & J C Gould Ltd,2017-03-01
35/168/0015/,12846,T H Roberts & Sons,2017-03-01
35/075/0038/,12445,"R J, E M & A J Wilson",2017-03-01
35/027/0009/,12351,"D, M, A & R Robinson",2017-03-01
06/325/0011/,1284,N Fryer & Son,2017-03-01
17/147/0065/,9067,T W & C G CHARLES,2017-03-01
16/006/0072/,8866,M/S J D & M D BRADLEY,2017-03-01
08/400/0001/,4151,MRS S ARMSTRONG,2017-03-02
08/409/0010/,4184,M/S GT & DM STRONG,2017-03-02
08/400/0012/,4153,T J & J M POWLEY,2017-03-02
08/398/0002/,4147,MESSRS J HARRISON,2017-03-02
07/138/0003/,2192,TREVEGLOS FARM LIMITED,2017-03-02
07/137/0079/,2191,T I WELLINGTON,2017-03-02
21/387/0540/,10595,K T WOOD & SON,2017-03-02
37/159/0038/,15094,S P ROBINSON & SON,2017-03-02
44/861/0172/,16367,WOOD BROS,2017-03-02
49/151/0020/,18439,MR B DANFORTH,2017-03-02
49/340/0274/,18471,MR P D POGSON,2017-03-02
07/022/7000/,30784,T/A: A & R Gillbard,2017-03-02
14/261/0245/,30806,Stroud Micro Dairy Limited,2017-03-02
48/718/0057/,29610,BIRCHFIELD FAMILY DAIRIES,2017-03-03
48/711/0070/,18047,P & A M SIMPSON,2017-03-03
48/714/0012/,18054,M/S DJ & DC COATES,2017-03-03
37/224/0015/,15356,MESSRS G SHIPLEY & CO,2017-03-03
35/147/0082/,12696,R G P Roberts,2017-03-03
06/203/0006/,804,T/A: L V & D F Dakin & Partners,2017-03-03
08/031/0048/,2809,MESSRS D T & G YOUNG,2017-03-03
09/154/0020/,4836,G D & M RODGERS & SONS,2017-03-03
10/206/0017/,6117,R C & K WRIGHT & SON,2017-03-06
10/210/0050/,6146,M/S TRATT,2017-03-06
11/097/0017/,7373,J C & F F Dovey & Sons Ltd,2017-03-06
60/120/0239/,30096,H G Robinson & Sons Ltd,2017-03-06
36/440/0033/,30658,West Country Water Buffalo Limited,2017-03-06
13/122/0049/,28787,GREYS MILKING SHEEP CO.,2017-03-07
13/317/0050/,8164,MRS J P SHIPTON,2017-03-07
13/083/0050/,8109,R STRATHERN,2017-03-07
10/148/0042/,5756,M J TUCKER,2017-03-07
10/148/0049/,5757,"R J, G M & A J Tucker",2017-03-07
09/109/0009/,4720,D & C GIBSON,2017-03-07
08/775/0045/,4366,T W HANDLEY,2017-03-07
08/775/0084/,4369,G M SEDGWICK & SON,2017-03-07
08/775/0112/,4374,A E LUFFMAN,2017-03-07
01/075/0012/,17,W Nash & Son,2017-03-07
06/114/0002/,564,RB & J JONES & SON,2017-03-08
06/093/0005/,531,W H LITTLER & SON,2017-03-08
06/157/0027/,697,P A & D R JOHNSON,2017-03-08
10/076/0053/,5438,D W & S C GILLBARD,2017-03-08
10/331/0009/,6631,D.A.J. T/A: Down and J.M. Down,2017-03-08
36/232/0027/,13811,P J Davis & Sons,2017-03-08
22/182/0014/,10902,W.A.C GILBERT & SONS,2017-03-08
44/901/0020/,16369,D W YATES,2017-03-08
44/861/0172/,16367,WOOD BROS,2017-03-08
44/673/0106/,16318,J & K WHITELEGG,2017-03-08
36/331/0015/,14045,J SMITH & SON,2017-03-08
52/151/0238/,19085,A I BOWEN,2017-03-08
52/161/0076/,19122,M & J & E HUGHES,2017-03-08
52/120/0151/,19000,MR H I & MRS L J LLOYD,2017-03-08
10/281/0058/,30773,T/A:  KG & SRJ Wotton,2017-03-08
16/193/0069/,30777,T/A: J & JM Sillifant,2017-03-09
08/413/0002/,28949,MESSRS ALTHAM,2017-03-09
08/160/0081/,29735,Dolphenby Farming Partners,2017-03-09
48/844/0015/,18343,S & I A ROBINSON,2017-03-09
42/131/0048/,15954,B F ARMSTRONG & SON,2017-03-09
38/102/0078/,15556,Fen Farm Dairy Ltd,2017-03-09
40/138/0215/,15702,NALDRETT & PARTNERS,2017-03-09
21/161/0029/,10081,W R & C M LAWRENSON,2017-03-09
